Frame,Gaze
6762,Robot
6763,Robot
6764,Robot
6765,Robot
6766,Robot
6767,Robot
6768,Robot
6769,Robot
6770,Robot
6771,Robot
6772,Robot
6773,Robot
6774,Task
6775,Task
6776,Robot
6777,Robot
6778,Robot
6779,Task
6780,Task
6781,Task
6782,Task
6783,Robot
6784,Robot
6785,Robot
6786,Robot
6787,Robot
6788,Robot
6789,Robot
6790,Robot
6791,Robot
6792,Robot
6793,Robot
6794,Robot
6795,Robot
6796,Robot
6797,Robot
6798,Robot
6799,Robot
6800,Task
6801,Task
6802,Robot
6803,Robot
6804,Robot
6805,Robot
6806,Robot
6807,Robot
6808,Robot
6809,Robot
6810,Robot
6811,Robot
6812,Robot
6813,Robot
